apk_path,output_path,reason
downloaded_apk/10k-50k/com.meetphoton.PhotonRobot_62.apk,decompiled_files/10k-50k/com.meetphoton.PhotonRobot_62,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.aspensnowmass.app_9126.apk,decompiled_files/10k-50k/com.aspensnowmass.app_9126,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.codingshadows.romana_bac_v2_103.apk,decompiled_files/10k-50k/com.codingshadows.romana_bac_v2_103,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.fitivity.resistance_band_43.apk,decompiled_files/10k-50k/com.fitivity.resistance_band_43,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/in.quickdigital.goapp_332.apk,decompiled_files/10k-50k/in.quickdigital.goapp_332,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/swmr.otr.pro_223.apk,decompiled_files/10k-50k/swmr.otr.pro_223,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/jp.puppyna_57.apk,decompiled_files/10k-50k/jp.puppyna_57,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.codeapp.avaliacaofisica_132.apk,decompiled_files/10k-50k/com.codeapp.avaliacaofisica_132,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.goodappsoftware.altimeter_51.apk,decompiled_files/10k-50k/com.goodappsoftware.altimeter_51,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/mt.ca.montessoriactivities_30300.apk,decompiled_files/10k-50k/mt.ca.montessoriactivities_30300,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.goethetest_19.apk,decompiled_files/10k-50k/com.goethetest_19,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/jp.pioneer.mbg.DriveRecorderInterface_39.apk,decompiled_files/10k-50k/jp.pioneer.mbg.DriveRecorderInterface_39,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/mates.petru.smoquit_46.apk,decompiled_files/10k-50k/mates.petru.smoquit_46,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.thiqxis.takumicubic_297.apk,decompiled_files/10k-50k/com.thiqxis.takumicubic_297,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.proctur.procturlearnstudent_59.apk,decompiled_files/10k-50k/com.proctur.procturlearnstudent_59,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/cpnuml.org.np_32.apk,decompiled_files/10k-50k/cpnuml.org.np_32,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/10k-50k/com.oneup.candy.saga.crush.sweet.sugar.blast.soda_17.apk,decompiled_files/10k-50k/com.oneup.candy.saga.crush.sweet.sugar.blast.soda_17,Crash: [Errno 2] No such file or directory: 'jadx'
